Fasciaeta,ID Film,Voto Massimo,Voto Minimo
Under 18,188,5,1
Under 18,189,4,2
Under 18,190,5,2
Under 18,191,5,2
Under 18,192,2,2
Under 18,193,5,1
Under 18,194,5,2
Under 18,195,5,1
Under 18,196,5,1
Under 18,197,2,2
Under 18,198,5,1
Under 18,199,5,3
Under 18,201,3,1
Under 18,202,4,1
Under 18,203,5,1
Under 18,204,5,1
Under 18,205,5,2
Under 18,206,5,1
Under 18,207,5,1
Under 18,208,5,1
Under 18,209,4,1
Under 18,210,4,2
Under 18,211,4,2
Under 18,212,1,1
Under 18,213,5,3
Under 18,214,5,3
Under 18,215,5,1
Under 18,216,5,1
Under 18,217,3,1
Under 18,218,5,1
Under 18,219,4,3
Under 18,220,3,1
Under 18,222,5,1
Under 18,223,5,1
Under 18,224,5,2
Under 18,225,5,2
Under 18,227,4,1
Under 18,228,3,3
Under 18,229,5,2
Under 18,230,5,1
Under 18,231,5,1
Under 18,232,5,1
Under 18,233,5,1
Under 18,234,4,1
Under 18,235,5,1
Under 18,236,5,1
Under 18,237,5,1
Under 18,238,4,1
Under 18,239,5,1
Under 18,240,5,2
Under 18,241,5,1
Under 18,242,5,2
Under 18,244,3,2
Under 18,245,2,2
Under 18,246,5,2
Under 18,247,5,1
Under 18,248,5,1
Under 18,249,5,1
Under 18,250,3,1
Under 18,252,5,2
Under 18,253,5,1
Under 18,254,4,3
Under 18,255,5,1
Under 18,256,4,1
Under 18,257,5,2
Under 18,258,5,1
Under 18,259,4,1
Under 18,260,5,1
Under 18,261,5,2
Under 18,262,5,2
Under 18,263,5,1
Under 18,264,3,1
Under 18,265,5,1
Under 18,266,5,1
Under 18,267,5,1
Under 18,268,5,3
Under 18,269,4,3
Under 18,270,5,1
Under 18,271,5,2
Under 18,272,5,2
Under 18,273,5,1
Under 18,274,1,1
Under 18,275,5,1
Under 18,276,4,1
Under 18,277,5,2
Under 18,278,5,2
Under 18,279,4,3
Under 18,280,5,2
Under 18,281,5,3
Under 18,282,5,1
Under 18,283,4,1
Under 18,287,4,3
Under 18,288,5,1
Under 18,289,5,2
Under 18,290,5,2
Under 18,291,3,1
Under 18,292,5,1
Under 18,293,5,1
Under 18,294,4,2
Under 18,295,4,2
Under 18,296,5,1
Under 18,297,2,2
Under 18,298,5,3
Under 18,299,5,2
Under 18,300,5,2
Under 18,301,5,2
Under 18,302,5,1
Under 18,303,5,1
Under 18,304,4,2
Under 18,305,5,1
Under 18,306,5,1
Under 18,307,5,1
Under 18,308,5,1
Under 18,309,5,3
Under 18,310,4,1
Under 18,312,5,1
Under 18,313,4,1
Under 18,314,5,2
Under 18,315,5,1
Under 18,316,5,1
Under 18,317,5,1
Under 18,318,5,2
Under 18,319,5,1
Under 18,320,4,2
Under 18,321,5,3
Under 18,322,5,1
Under 18,324,5,3
Under 18,325,4,1
Under 18,326,5,1
Under 18,327,5,1
Under 18,328,5,1
Under 18,329,5,1
Under 18,330,5,1
Under 18,331,4,2
Under 18,332,5,1
Under 18,333,5,1
Under 18,334,5,1
Under 18,335,5,2
Under 18,336,2,1
Under 18,337,5,1
Under 18,338,5,1
Under 18,339,5,2
Under 18,340,5,2
Under 18,341,5,3
Under 18,342,5,1
Under 18,343,3,1
Under 18,344,5,1
Under 18,345,5,1
Under 18,346,5,2
Under 18,347,4,2
Under 18,348,5,1
Under 18,349,5,2
Under 18,350,5,2
Under 18,351,5,2
Under 18,352,5,1
Under 18,353,5,1
Under 18,354,5,2
Under 18,355,4,1
Under 18,356,5,1
Under 18,357,5,1
Under 18,358,5,1
Under 18,360,5,1
Under 18,361,5,1
Under 18,362,5,1
Under 18,363,5,3
Under 18,364,5,1
Under 18,365,4,2
Under 18,366,5,1
Under 18,367,5,1
Under 18,368,5,1
Under 18,369,4,2
Under 18,370,5,1
Under 18,371,4,1
Under 18,372,5,1
Under 18,373,5,1
Under 18,374,4,1
Under 18,375,4,3
Under 18,376,5,1
Under 18,377,5,1
Under 18,378,5,1
Under 18,379,5,1
Under 18,380,5,1
Under 18,381,5,2
Under 18,382,5,1
Under 18,383,5,1
Under 18,384,5,1
Under 18,386,4,1
Under 18,387,5,2
Under 18,388,5,2
Under 18,389,5,3
Under 18,390,5,2
Under 18,391,5,1
Under 18,392,5,1
Under 18,393,3,1
Under 18,394,5,3
Under 18,397,4,1
Under 18,405,5,1
Under 18,406,2,2
Under 18,407,5,1
Under 18,408,5,2
Under 18,409,3,2
Under 18,410,5,1
Under 18,411,5,1
Under 18,412,5,2
Under 18,413,4,1
Under 18,414,4,1
Under 18,415,4,1
Under 18,416,5,1
Under 18,417,5,2
Under 18,418,1,1
Under 18,419,4,1
Under 18,420,4,1
Under 18,421,5,2
Under 18,422,5,2
Under 18,423,5,1
Under 18,424,3,1
Under 18,425,5,2
Under 18,426,5,1
Under 18,427,4,1
Under 18,428,5,2
Under 18,429,4,1
Under 18,430,2,1
Under 18,431,5,2
Under 18,432,5,1
Under 18,433,3,1
Under 18,434,5,1
Under 18,435,5,1
Under 18,436,4,1
Under 18,437,3,1
Under 18,438,4,1
Under 18,439,4,4
Under 18,440,5,1
Under 18,441,5,1
Under 18,442,5,1
Under 18,443,4,2
Under 18,444,5,1
Under 18,445,4,1
Under 18,446,5,2
Under 18,447,4,3
Under 18,448,5,1
Under 18,449,5,2
Under 18,450,5,2
Under 18,451,5,2
Under 18,452,5,2
Under 18,453,4,2
Under 18,454,5,1
Under 18,455,4,1
Under 18,456,5,3
Under 18,457,5,1
Under 18,458,5,2
Under 18,459,5,1
Under 18,460,3,1
Under 18,461,5,1
Under 18,462,4,1
Under 18,463,4,2
Under 18,464,5,1
Under 18,465,5,2
Under 18,466,5,1
Under 18,467,5,2
Under 18,468,5,1
Under 18,469,4,1
Under 18,470,3,1
Under 18,471,5,1
Under 18,472,4,2
Under 18,473,3,1
Under 18,474,5,1
Under 18,475,5,2
Under 18,476,3,1
Under 18,477,5,1
Under 18,478,3,1
Under 18,479,5,1
Under 18,480,5,1
Under 18,481,5,1
Under 18,482,5,1
Under 18,483,5,2
Under 18,484,3,1
Under 18,485,5,1
Under 18,486,4,1
Under 18,487,5,1
Under 18,488,5,2
Under 18,489,4,1
Under 18,490,5,2
Under 18,491,5,2
Under 18,492,5,1
Under 18,493,5,1
Under 18,494,5,2
Under 18,495,5,1
Under 18,496,5,2
Under 18,497,5,1
Under 18,498,4,1
Under 18,499,4,2
Under 18,500,5,1
Under 18,501,5,1
Under 18,502,3,1
Under 18,503,4,3
Under 18,504,5,1
Under 18,505,4,2
Under 18,506,5,2
Under 18,507,5,2
Under 18,508,5,1
Under 18,509,5,1
Under 18,510,3,2
Under 18,511,5,2
Under 18,512,5,1
Under 18,513,4,1
Under 18,514,5,2
Under 18,515,5,1
Under 18,516,5,1
Under 18,517,5,2
Under 18,518,5,1
Under 18,519,5,1
Under 18,520,5,1
Under 18,521,5,1
Under 18,522,5,3
Under 18,523,5,1
Under 18,524,5,2
Under 18,525,5,3
Under 18,526,4,1
Under 18,527,5,1
Under 18,528,5,1
Under 18,529,5,1
Under 18,531,5,1
Under 18,532,5,1
Under 18,533,5,2
Under 18,534,5,1
Under 18,535,5,1
Under 18,536,5,1
Under 18,537,5,1
Under 18,538,5,2
Under 18,539,5,1
Under 18,540,4,1
Under 18,541,5,1
Under 18,542,4,1
Under 18,543,5,1
Under 18,544,4,1
Under 18,546,5,1
Under 18,547,4,1
Under 18,548,4,1
Under 18,549,5,1
Under 18,550,5,1
Under 18,551,5,1
Under 18,552,5,1
Under 18,553,5,1
Under 18,554,3,3
Under 18,555,5,1
Under 18,556,5,3
Under 18,558,5,1
Under 18,560,4,3
Under 18,561,5,3
Under 18,562,5,1
Under 18,563,5,1
Under 18,564,4,1
Under 18,565,5,1
Under 18,566,4,3
Under 18,567,5,2
Under 18,568,5,2
Under 18,569,4,2
Under 18,570,5,1
Under 18,571,5,3
Under 18,573,5,3
Under 18,574,5,1
Under 18,575,5,1
Under 18,576,3,3
Under 18,577,4,1
Under 18,580,5,2
Under 18,581,5,1
Under 18,582,3,3
Under 18,583,5,1
Under 18,585,5,1
Under 18,586,5,1
Under 18,587,5,1
Under 18,588,5,1
Under 18,589,5,1
Under 18,590,5,1
Under 18,592,5,1
Under 18,593,5,1
Under 18,594,5,1
Under 18,595,5,1
Under 18,596,5,1
Under 18,597,5,1
Under 18,598,5,4
Under 18,599,5,3
Under 18,600,5,4
Under 18,602,5,1
Under 18,603,5,1
Under 18,605,5,1
Under 18,606,4,1
Under 18,608,5,1
Under 18,609,4,1
Under 18,610,5,1
Under 18,611,4,1
Under 18,612,4,1
Under 18,613,5,3
Under 18,614,3,2
Under 18,615,5,3
Under 18,616,5,1
Under 18,617,5,3
Under 18,619,3,1
Under 18,621,5,3
Under 18,626,4,1
Under 18,627,5,2
Under 18,628,5,1
Under 18,631,5,1
Under 18,632,5,5
Under 18,633,5,3
Under 18,634,3,3
Under 18,635,4,3
Under 18,637,5,1
Under 18,638,4,2
Under 18,639,5,1
Under 18,640,4,1
Under 18,645,5,3
Under 18,647,5,2
Under 18,648,5,1
Under 18,649,5,4
Under 18,650,5,2
Under 18,653,5,1
Under 18,656,3,1
Under 18,657,3,3
Under 18,659,4,3
Under 18,661,5,1
Under 18,662,4,1
Under 18,663,5,1
Under 18,664,4,3
Under 18,665,5,2
Under 18,667,5,1
Under 18,668,5,2
Under 18,669,5,4
Under 18,670,5,1
Under 18,671,5,1
Under 18,673,5,1
Under 18,674,5,1
Under 18,678,5,1
Under 18,680,5,1
Under 18,681,4,2
Under 18,682,1,1
Under 18,685,4,4
Under 18,687,5,5
Under 18,688,5,1
Under 18,690,3,3
Under 18,691,5,2
Under 18,692,4,1
Under 18,694,5,1
Under 18,695,5,2
Under 18,697,4,2
Under 18,700,5,2
Under 18,702,5,3
Under 18,703,1,1
Under 18,704,3,1
Under 18,705,4,2
Under 18,707,5,1
Under 18,708,5,2
Under 18,709,5,1
Under 18,710,4,2
Under 18,711,4,1
Under 18,714,5,1
Under 18,715,5,2
Under 18,716,3,2
Under 18,717,4,4
Under 18,718,5,2
Under 18,719,5,1
Under 18,720,5,1
Under 18,722,4,3
Under 18,724,5,1
Under 18,725,5,1
Under 18,726,3,2
Under 18,728,5,1
Under 18,731,4,1
Under 18,732,4,4
Under 18,733,5,1
Under 18,735,5,1
Under 18,736,5,1
Under 18,737,5,1
Under 18,741,5,2
Under 18,742,5,1
Under 18,743,5,1
Under 18,745,5,3
Under 18,746,5,3
Under 18,747,3,1
Under 18,748,5,1
Under 18,749,3,3
Under 18,750,5,1
Under 18,751,5,2
Under 18,753,5,3
Under 18,754,4,1
Under 18,755,4,4
Under 18,757,4,4
Under 18,759,5,1
Under 18,760,4,2
Under 18,761,5,2
Under 18,762,4,1
Under 18,764,5,1
Under 18,765,4,1
Under 18,766,5,2
Under 18,767,4,3
Under 18,769,5,3
Under 18,774,4,4
Under 18,775,3,2
Under 18,776,4,4
Under 18,778,5,1
Under 18,779,5,2
Under 18,780,5,1
Under 18,781,4,1
Under 18,782,4,1
Under 18,783,5,1
Under 18,784,5,1
Under 18,785,5,1
Under 18,786,5,1
Under 18,788,5,1
Under 18,792,4,4
Under 18,798,5,1
Under 18,799,5,1
Under 18,800,5,2
Under 18,801,5,1
Under 18,802,5,1
Under 18,803,5,2
Under 18,804,5,1
Under 18,805,5,1
Under 18,806,5,1
Under 18,807,2,2
Under 18,808,5,1
Under 18,809,4,1
Under 18,810,4,1
Under 18,811,4,3
Under 18,813,4,1
Under 18,815,1,1
Under 18,818,5,1
Under 18,820,4,4
Under 18,823,4,3
Under 18,824,5,4
Under 18,828,4,1
Under 18,829,4,1
Under 18,830,5,1
Under 18,831,4,1
Under 18,832,5,1
Under 18,833,4,1
Under 18,835,5,1
Under 18,836,5,1
Under 18,837,5,1
Under 18,838,5,1
Under 18,839,4,1
Under 18,840,4,1
Under 18,841,5,4
Under 18,842,5,1
Under 18,844,4,2
Under 18,846,5,1
Under 18,848,5,2
Under 18,849,5,1
Under 18,850,5,4
Under 18,851,5,1
Under 18,852,5,1
Under 18,853,5,5
Under 18,854,3,3
Under 18,858,5,1
Under 18,860,4,2
Under 18,861,5,2
Under 18,862,5,2
Under 18,863,4,2
Under 18,864,4,2
Under 18,866,5,2
Under 18,867,1,1
Under 18,869,4,2
Under 18,870,4,1
Under 18,874,1,1
Under 18,875,4,4
Under 18,876,4,4
Under 18,877,4,2
Under 18,879,5,1
Under 18,880,4,1
Under 18,881,5,1
Under 18,882,4,2
Under 18,884,3,3
Under 18,885,5,2
Under 18,886,5,1
Under 18,888,4,1
Under 18,891,5,1
Under 18,892,5,2
Under 18,893,5,2
Under 18,896,5,1
Under 18,897,5,3
Under 18,898,5,1
Under 18,899,5,1
Under 18,900,5,2
Under 18,901,5,1
Under 18,902,5,1
Under 18,903,5,2
Under 18,904,5,2
Under 18,905,5,1
Under 18,906,5,3
Under 18,907,5,1
Under 18,908,5,1
Under 18,909,5,1
Under 18,910,5,1
Under 18,911,5,2
Under 18,912,5,1
Under 18,913,5,1
Under 18,914,5,2
Under 18,915,5,1
Under 18,916,5,2
Under 18,917,4,1
Under 18,918,5,2
Under 18,919,5,1
Under 18,920,5,1
Under 18,921,5,2
Under 18,922,5,2
Under 18,923,5,1
Under 18,924,5,1
Under 18,925,4,3
Under 18,926,5,1
Under 18,927,5,2
Under 18,928,5,3
Under 18,929,5,3
Under 18,930,5,2
Under 18,931,5,3
Under 18,932,5,1
Under 18,933,5,1
Under 18,934,5,1
Under 18,935,5,1
Under 18,936,5,1
Under 18,937,5,1
Under 18,938,5,2
Under 18,939,3,1
Under 18,940,5,1
Under 18,941,5,2
Under 18,942,5,2
Under 18,943,5,2
Under 18,944,5,2
Under 18,945,5,2
Under 18,946,5,1
Under 18,947,5,1
Under 18,948,5,1
Under 18,949,5,1
Under 18,950,5,3
Under 18,951,5,1
Under 18,952,5,2
Under 18,953,5,1
Under 18,954,5,2
Under 18,955,5,1
Under 18,956,5,1
Under 18,957,5,1
Under 18,958,5,2
Under 18,959,5,4
Under 18,960,3,3
Under 18,961,4,3
Under 18,962,4,3
Under 18,963,5,3
Under 18,964,5,3
Under 18,965,5,3
Under 18,966,4,3
Under 18,967,5,2
Under 18,968,5,1
Under 18,969,5,1
Under 18,970,5,1
Under 18,971,5,2
Under 18,972,3,3
Under 18,973,5,2
Under 18,974,4,2
Under 18,976,5,1
Under 18,978,5,1
Under 18,980,4,1
Under 18,982,5,2
Under 18,984,4,1
Under 18,986,5,1
Under 18,987,3,1
Under 18,988,5,2
Under 18,989,5,5
Under 18,990,3,2
Under 18,991,5,2
Under 18,992,2,2
Under 18,994,5,2
Under 18,996,5,1
Under 18,997,4,2
Under 18,998,5,2
Under 18,999,5,1
Under 18,1000,4,1
Under 18,1002,5,3
Under 18,1003,5,2
Under 18,1004,5,1
Under 18,1005,3,1
Under 18,1006,4,1
Under 18,1007,5,1
Under 18,1008,4,3
Under 18,1009,5,1
Under 18,1010,5,1
Under 18,1011,5,1
Under 18,1012,5,1
Under 18,1013,5,1
Under 18,1014,5,1
Under 18,1015,5,1
Under 18,1016,5,1
Under 18,1017,5,1
Under 18,1018,5,2
Under 18,1019,5,1
Under 18,1020,5,1
Under 18,1021,5,1
Under 18,1022,5,1
Under 18,1023,5,1
Under 18,1024,5,1
Under 18,1025,5,1
Under 18,1026,4,4
Under 18,1027,5,1
Under 18,1028,5,1
Under 18,1029,5,1
Under 18,1030,5,1
Under 18,1031,5,1
Under 18,1032,5,1
Under 18,1033,5,1
Under 18,1034,5,1
Under 18,1035,5,1
Under 18,1036,5,1
Under 18,1037,5,1
Under 18,1038,4,2
Under 18,1041,5,2
Under 18,1042,5,1
Under 18,1043,4,1
Under 18,1044,4,3
Under 18,1046,5,2
Under 18,1047,5,1
Under 18,1049,5,1
Under 18,1050,5,1
Under 18,1051,4,1
Under 18,1053,2,1
Under 18,1054,5,2
Under 18,1055,3,1
Under 18,1056,4,2
Under 18,1057,5,2
Under 18,1058,3,3
Under 18,1059,5,1
Under 18,1060,5,1
Under 18,1061,5,1
Under 18,1062,3,3
Under 18,1063,5,4
Under 18,1064,4,1
Under 18,1066,5,1
Under 18,1067,5,3
Under 18,1068,5,1
Under 18,1069,5,3
Under 18,1070,3,3
Under 18,1073,5,1
Under 18,1076,4,3
Under 18,1077,5,2
Under 18,1078,5,1
Under 18,1079,5,1
Under 18,1080,5,1
Under 18,1081,5,2
Under 18,1082,5,2
Under 18,1083,5,2
Under 18,1084,5,2
Under 18,1085,5,2
Under 18,1086,5,2
Under 18,1087,4,4
Under 18,1088,5,1
Under 18,1089,5,1
Under 18,1090,5,1
Under 18,1091,5,1
Under 18,1092,5,1
Under 18,1093,5,2
Under 18,1094,5,1
Under 18,1095,5,1
Under 18,1096,5,2
Under 18,1097,5,1
Under 18,1099,5,1
Under 18,1100,5,1
Under 18,1101,5,1
Under 18,1103,5,3
Under 18,1104,5,2
Under 18,1105,3,1
Under 18,1107,2,2
Under 18,1111,5,2
Under 18,1112,5,3
Under 18,1113,4,1
Under 18,1114,5,1
Under 18,1116,4,3
Under 18,1117,5,5
Under 18,1119,4,3
Under 18,1120,5,2
Under 18,1121,4,3
Under 18,1123,5,4
Under 18,1124,5,2
Under 18,1125,5,2
Under 18,1126,5,1
Under 18,1127,5,1
Under 18,1128,5,1
Under 18,1129,5,1
Under 18,1130,5,1
Under 18,1131,5,2
Under 18,1132,5,2
Under 18,1135,5,1
Under 18,1136,5,2
Under 18,1139,4,4
Under 18,1144,4,3
Under 18,1145,3,3
Under 18,1147,5,2
Under 18,1148,5,1
Under 18,1149,1,1
Under 18,1150,5,2
Under 18,1151,5,1
Under 18,1152,5,3
Under 18,1153,5,3
Under 18,1154,5,3
Under 18,1160,3,1
Under 18,1161,5,3
Under 18,1162,5,2
Under 18,1163,4,2
Under 18,1164,5,5
Under 18,1167,4,2
Under 18,1168,3,2
Under 18,1169,5,3
Under 18,1170,2,1
Under 18,1171,5,2
Under 18,1172,5,2
Under 18,1173,5,1
Under 18,1174,4,4
Under 18,1175,5,1
Under 18,1176,5,2
Under 18,1177,5,2
Under 18,1178,5,2
Under 18,1179,5,1
Under 18,1180,5,2
Under 18,1183,5,1
Under 18,1184,5,3
Under 18,1185,5,1
Under 18,1186,5,1
Under 18,1187,5,2
Under 18,1188,5,1
Under 18,1189,5,2
Under 18,1190,5,1
Under 18,1191,5,1
Under 18,1192,5,2
Under 18,1193,5,1
Under 18,1194,5,1
Under 18,1196,5,1
Under 18,1197,5,1
Under 18,1198,5,2
Under 18,1199,5,1
Under 18,1200,5,1
Under 18,1201,5,1
Under 18,1202,5,1
Under 18,1203,5,1
Under 18,1204,5,1
Under 18,1205,5,1
Under 18,1206,5,1
Under 18,1207,5,1
Under 18,1208,5,2
Under 18,1209,5,1
Under 18,1210,5,1
Under 18,1211,5,1
Under 18,1212,5,3
Under 18,1213,5,2
Under 18,1214,5,1
Under 18,1215,5,1
Under 18,1216,5,1
Under 18,1217,5,3
Under 18,1218,5,3
Under 18,1219,5,1
Under 18,1220,5,1
Under 18,1221,5,1
Under 18,1222,5,1
Under 18,1223,5,1
Under 18,1224,5,2
Under 18,1225,5,2
Under 18,1226,5,2
Under 18,1227,5,2
Under 18,1228,5,1
Under 18,1230,5,1
Under 18,1231,5,2
Under 18,1232,5,1
Under 18,1233,5,1
Under 18,1234,5,2
Under 18,1235,5,1
Under 18,1236,5,2
Under 18,1237,5,1
Under 18,1238,5,2
Under 18,1240,5,1
Under 18,1241,5,1
Under 18,1242,5,2
Under 18,1243,5,1
Under 18,1244,5,2
Under 18,1245,5,1
Under 18,1246,5,1
Under 18,1247,5,1
Under 18,1248,5,1
Under 18,1249,5,1
Under 18,1250,5,2
Under 18,1251,5,3
Under 18,1252,5,2
Under 18,1253,5,2
Under 18,1254,5,1
Under 18,1255,5,1
Under 18,1256,5,1
Under 18,1257,5,2
Under 18,1258,5,1
Under 18,1259,5,1
Under 18,1260,5,2
Under 18,1261,5,1
Under 18,1262,5,2
Under 18,1263,5,1
Under 18,1264,5,2
Under 18,1265,5,1
Under 18,1266,5,1
Under 18,1267,5,2
Under 18,1268,5,2
Under 18,1269,5,1
Under 18,1270,5,1
Under 18,1271,5,1
Under 18,1272,5,1
Under 18,1273,5,2
Under 18,1274,5,1
Under 18,1275,5,1
Under 18,1276,5,2
Under 18,1277,5,1
Under 18,1278,5,1
Under 18,1279,5,1
Under 18,1280,5,1
Under 18,1281,5,1
Under 18,1282,5,1
Under 18,1283,5,1
Under 18,1284,5,1
Under 18,1285,5,2
Under 18,1286,5,1
Under 18,1287,5,1
Under 18,1288,5,1
Under 18,1289,5,1
Under 18,1290,5,2
Under 18,1291,5,1
Under 18,1292,5,1
Under 18,1293,5,1
Under 18,1294,5,1
Under 18,1295,5,1
Under 18,1296,5,1
Under 18,1297,5,1
Under 18,1298,5,1
Under 18,1299,5,3
Under 18,1300,5,1
Under 18,1301,5,1
Under 18,1302,5,1
Under 18,1303,5,2
Under 18,1304,5,2
Under 18,1305,5,1
Under 18,1306,5,2
Under 18,1307,5,1
Under 18,1310,5,1
Under 18,1312,5,1
Under 18,1313,5,2
Under 18,1315,2,2
Under 18,1317,4,2
Under 18,1320,5,1
Under 18,1321,5,1
Under 18,1322,3,1
Under 18,1323,3,1
Under 18,1324,3,1
Under 18,1325,3,1
Under 18,1326,5,1
Under 18,1327,5,1
Under 18,1328,3,1
Under 18,1329,5,1
Under 18,1330,5,1
Under 18,1331,5,2
Under 18,1332,5,2
Under 18,1333,5,1
Under 18,1334,5,1
Under 18,1335,4,1
Under 18,1336,4,1
Under 18,1337,5,2
Under 18,1339,5,1
Under 18,1340,5,1
Under 18,1341,5,2
Under 18,1342,5,1
Under 18,1343,5,2
Under 18,1344,5,2
Under 18,1345,5,2
Under 18,1346,5,1
Under 18,1347,5,1
Under 18,1348,5,1
Under 18,1349,5,1
Under 18,1350,5,1
Under 18,1351,5,2
Under 18,1352,4,1
Under 18,1353,5,1
Under 18,1354,5,1
Under 18,1355,5,1
Under 18,1356,5,1
Under 18,1357,5,1
Under 18,1358,5,2
Under 18,1359,5,1
Under 18,1361,5,1
Under 18,1362,5,2
Under 18,1363,5,2
Under 18,1365,5,3
Under 18,1366,5,1
Under 18,1367,5,1
Under 18,1369,4,2
Under 18,1370,5,1
Under 18,1371,5,1
Under 18,1372,5,1
Under 18,1373,5,1
Under 18,1374,5,1
Under 18,1375,5,1
Under 18,1376,5,1
Under 18,1377,5,1
Under 18,1378,5,1
Under 18,1379,5,1
Under 18,1380,5,1
Under 18,1381,5,1
Under 18,1382,5,2
Under 18,1384,4,3
Under 18,1385,5,1
Under 18,1387,5,1
Under 18,1388,5,1
Under 18,1389,5,1
Under 18,1390,5,2
Under 18,1391,5,1
Under 18,1392,5,2
Under 18,1393,5,1
Under 18,1394,5,1
Under 18,1395,5,2
Under 18,1396,5,2
Under 18,1397,5,2
Under 18,1398,5,2
Under 18,1399,5,2
Under 18,1401,5,2
Under 18,1404,4,2
Under 18,1405,5,1
Under 18,1406,4,1
Under 18,1407,5,1
Under 18,1408,5,1
Under 18,1409,5,1
Under 18,1410,5,1
Under 18,1411,5,2
Under 18,1412,4,4
Under 18,1413,5,2
Under 18,1414,5,2
Under 18,1415,5,3
Under 18,1416,5,1
Under 18,1417,4,1
Under 18,1419,5,2
Under 18,1420,5,5
Under 18,1422,5,2
Under 18,1423,5,5
Under 18,1425,5,1
Under 18,1426,3,2
Under 18,1427,4,3
Under 18,1428,5,1
Under 18,1429,5,1
Under 18,1431,4,1
Under 18,1432,5,2
Under 18,1433,2,1
Under 18,1436,3,3
Under 18,1437,4,3
Under 18,1438,5,1
Under 18,1439,3,1
Under 18,1440,3,2
Under 18,1441,5,1
Under 18,1442,4,1
Under 18,1444,3,3
Under 18,1445,5,1
Under 18,1446,5,1
Under 18,1447,4,1
Under 18,1449,5,1
Under 18,1450,4,4
Under 18,1453,4,1
Under 18,1454,4,1
Under 18,1455,4,1
Under 18,1456,4,1
